scientific_name,category,year_published,url,assessment_id
Haematopus meadewaldoi,EX,2015,https://www.iucnredlist.org/species/22693621/69555490,69555490
Pinguinus impennis,EX,2015,https://www.iucnredlist.org/species/22694856/69555689,69555689
Oenanthe lugentoides,LC,2022,https://www.iucnredlist.org/species/22710284/94241877,94241877
Alaudala cheleensis,LC,2022,https://www.iucnredlist.org/species/216912565/94527748,94527748
Hylexetastes uniformis,VU,2023,https://www.iucnredlist.org/species/244519627/95009579,95009579
Tanysiptera hydrocharis,DD,2017,https://www.iucnredlist.org/species/22683572/116889286,116889286
Todiramphus reichenbachii,VU,2017,https://www.iucnredlist.org/species/22726585/116969455,116969455
Cyanolyca mirabilis,VU,2017,https://www.iucnredlist.org/species/22705675/116998688,116998688
Eurystomus azureus,NT,2017,https://www.iucnredlist.org/species/22682926/117000326,117000326
Otus elegans,NT,2017,https://www.iucnredlist.org/species/22688651/117001277,117001277
Otus jolandae,NT,2017,https://www.iucnredlist.org/species/61786867/117002556,117002556
Liocichla omeiensis,VU,2017,https://www.iucnredlist.org/species/22715770/117063025,117063025
Sericulus bakeri,NT,2017,https://www.iucnredlist.org/species/22703671/117100558,117100558
Hypsipetes siquijorensis,EN,2017,https://www.iucnredlist.org/species/22713185/117107155,117107155
Zonerodius heliosylus,NT,2017,https://www.iucnredlist.org/species/22697274/117210228,117210228
Ploceus hypoxanthus,NT,2017,https://www.iucnredlist.org/species/22719008/117215652,117215652
Kleinothraupis parodii,NT,2017,https://www.iucnredlist.org/species/22722219/117230722,117230722
Phoenicurus bicolor,NT,2020,https://www.iucnredlist.org/species/22710101/117236655,117236655
Puffinus opisthomelas,NT,2022,https://www.iucnredlist.org/species/22698246/117364166,117364166
Cacatua haematuropygia,CR,2017,https://www.iucnredlist.org/species/22684795/117578604,117578604
Sarcophanops steerii,VU,2017,https://www.iucnredlist.org/species/22698738/117597507,117597507
Numenius arquata,NT,2017,https://www.iucnredlist.org/species/22693190/117917038,117917038
Pelecanus philippensis,NT,2017,https://www.iucnredlist.org/species/22697604/117970266,117970266
Esacus recurvirostris,NT,2017,https://www.iucnredlist.org/species/22693604/118013237,118013237
Rallicula mayri,LC,2017,https://www.iucnredlist.org/species/22692303/118088528,118088528
Melanocharis arfakiana,LC,2017,https://www.iucnredlist.org/species/22718134/118101264,118101264
Aegotheles wallacii,LC,2017,https://www.iucnredlist.org/species/22689568/118125873,118125873
Casuarius unappendiculatus,LC,2017,https://www.iucnredlist.org/species/22678114/118134784,118134784
Spizella wortheni,EN,2017,https://www.iucnredlist.org/species/22721182/118141491,118141491
Todiramphus nigrocyaneus,NT,2017,https://www.iucnredlist.org/species/22683282/118148059,118148059
Megacrex inepta,LC,2017,https://www.iucnredlist.org/species/22692785/118205352,118205352
Cacomantis aeruginosus,LC,2017,https://www.iucnredlist.org/species/22683935/118206284,118206284
Morphnus guianensis,NT,2017,https://www.iucnredlist.org/species/22695991/118209977,118209977
Columba palumboides,NT,2017,https://www.iucnredlist.org/species/22690201/118217922,118217922
Ceyx gentianus,LC,2017,https://www.iucnredlist.org/species/22726655/118224025,118224025
Epimachus fastosus,LC,2017,https://www.iucnredlist.org/species/22706151/118228172,118228172
Otus balli,LC,2017,https://www.iucnredlist.org/species/22688573/118257284,118257284
Cryptospiza shelleyi,EN,2017,https://www.iucnredlist.org/species/22719374/118357677,118357677
Fraseria tessmanni,LC,2017,https://www.iucnredlist.org/species/22709276/118373266,118373266
Mirafra cheniana,LC,2017,https://www.iucnredlist.org/species/22717008/118389631,118389631
Uroglaux dimorpha,LC,2017,https://www.iucnredlist.org/species/22689490/118392665,118392665
Spizocorys sclateri,NT,2017,https://www.iucnredlist.org/species/22717356/118398308,118398308
Rallina canningi,LC,2017,https://www.iucnredlist.org/species/22692311/118403430,118403430
Eremopterix australis,LC,2017,https://www.iucnredlist.org/species/22717197/118415198,118415198
Ptilopachus nahani,VU,2017,https://www.iucnredlist.org/species/22678795/118416398,118416398
Nyctiprogne vielliardi,LC,2017,https://www.iucnredlist.org/species/22689704/118418477,118418477
Macropygia rufipennis,LC,2017,https://www.iucnredlist.org/species/22690549/118430734,118430734
Campethera notata,NT,2017,https://www.iucnredlist.org/species/22680910/118435157,118435157
Ninox spilonotus,EN,2017,https://www.iucnredlist.org/species/22725493/118437516,118437516
Athene granti,NT,2017,https://www.iucnredlist.org/species/45449328/118438317,118438317
Ninox affinis,LC,2017,https://www.iucnredlist.org/species/22689420/118443805,118443805
Coua verreauxi,LC,2017,https://www.iucnredlist.org/species/22684184/118448748,118448748
Eupodotis caerulescens,NT,2017,https://www.iucnredlist.org/species/22692000/118449147,118449147
Otus moheliensis,EN,2017,https://www.iucnredlist.org/species/22724585/118472254,118472254
Eriocnemis mirabilis,EN,2017,https://www.iucnredlist.org/species/22687939/118473368,118473368
Todirostrum viridanum,LC,2017,https://www.iucnredlist.org/species/22699031/118474462,118474462
Herpsilochmus gentryi,LC,2017,https://www.iucnredlist.org/species/22724610/118474964,118474964
Synallaxis tithys,VU,2017,https://www.iucnredlist.org/species/22702334/118476161,118476161
Synallaxis hellmayri,LC,2017,https://www.iucnredlist.org/species/22702344/118477495,118477495
Amazona brasiliensis,NT,2017,https://www.iucnredlist.org/species/22686296/118478685,118478685
Batis minima,LC,2017,https://www.iucnredlist.org/species/22707901/118479847,118479847
Malindangia mcgregori,LC,2017,https://www.iucnredlist.org/species/22706626/118480538,118480538
Malaconotus alius,EN,2017,https://www.iucnredlist.org/species/22707747/118481703,118481703
Semioptera wallacii,LC,2017,https://www.iucnredlist.org/species/22706140/118483106,118483106
Acrocephalus brevipennis,VU,2017,https://www.iucnredlist.org/species/22714852/118484641,118484641
Ficedula nigrorufa,LC,2017,https://www.iucnredlist.org/species/22709415/118488735,118488735
Eumyias albicaudatus,LC,2017,https://www.iucnredlist.org/species/22709449/118490523,118490523
Kupeornis gilberti,VU,2017,https://www.iucnredlist.org/species/22716655/118493030,118493030
Dicaeum proprium,LC,2017,https://www.iucnredlist.org/species/22717481/118495619,118495619
Cinnyris ursulae,LC,2017,https://www.iucnredlist.org/species/22717831/118496874,118496874
Crithagra melanochroa,LC,2017,https://www.iucnredlist.org/species/22720278/118500042,118500042
Pampusana rubescens,EN,2017,https://www.iucnredlist.org/species/22691061/118535609,118535609
Copsychus albiventris,LC,2017,https://www.iucnredlist.org/species/103894787/118538765,118538765
Dicrurus andamanensis,LC,2017,https://www.iucnredlist.org/species/22707002/118539254,118539254
Dendrocitta bayleii,VU,2017,https://www.iucnredlist.org/species/22705852/118561208,118561208
Dryocopus hodgei,VU,2017,https://www.iucnredlist.org/species/22681379/118582685,118582685
Columba trocaz,LC,2017,https://www.iucnredlist.org/species/22690112/118618501,118618501
Columba pollenii,NT,2017,https://www.iucnredlist.org/species/22690152/118619451,118619451
Alectroenas sganzini,NT,2017,https://www.iucnredlist.org/species/22691594/118620252,118620252
Fulvetta danisi,LC,2025,https://www.iucnredlist.org/species/22734593/118628228,118628228
Geokichla dumasi,NT,2017,https://www.iucnredlist.org/species/22733666/118629453,118629453
Ninox sumbaensis,EN,2017,https://www.iucnredlist.org/species/22730062/118629788,118629788
Stresemannia bougainvillei,LC,2017,https://www.iucnredlist.org/species/22703937/118630490,118630490
Sphecotheres viridis,LC,2017,https://www.iucnredlist.org/species/22706460/118630869,118630869
Foudia consobrina,NT,2017,https://www.iucnredlist.org/species/103811335/118635121,118635121
Rhipidura kordensis,LC,2017,https://www.iucnredlist.org/species/103708917/118638489,118638489
Pachycephala tenebrosa,LC,2017,https://www.iucnredlist.org/species/22705565/118640929,118640929
Sittiparus owstoni,EN,2017,https://www.iucnredlist.org/species/103758982/118641514,118641514
Attila torridus,NT,2024,https://www.iucnredlist.org/species/22700340/118646751,118646751
Hypsipetes borbonicus,NT,2017,https://www.iucnredlist.org/species/22713231/118659547,118659547
Ducula aurorae,EN,2017,https://www.iucnredlist.org/species/22691668/118663538,118663538
Coracina dobsoni,NT,2017,https://www.iucnredlist.org/species/103694300/118680469,118680469
Aplonis brunneicapillus,VU,2017,https://www.iucnredlist.org/species/22710565/118683219,118683219
Incaspiza ortizi,LC,2017,https://www.iucnredlist.org/species/22723198/118770965,118770965
Psittrichas fulgidus,VU,2017,https://www.iucnredlist.org/species/22685025/118772050,118772050
Automolus lammi,EN,2017,https://www.iucnredlist.org/species/22736232/118773701,118773701
Hemitriccus kaempferi,VU,2017,https://www.iucnredlist.org/species/22698957/118775733,118775733
Pyrrhura leucotis,VU,2017,https://www.iucnredlist.org/species/45421208/118806820,118806820
Aglaeactis castelnaudii,NT,2017,https://www.iucnredlist.org/species/22687791/118808695,118808695
Herpsilochmus pectoralis,VU,2017,https://www.iucnredlist.org/species/22701577/118816985,118816985
Lanius meridionalis,VU,2017,https://www.iucnredlist.org/species/22729533/118845180,118845180
Conothraupis mesoleuca,EN,2017,https://www.iucnredlist.org/species/22722136/118846766,118846766
Emberiza socotrana,NT,2017,https://www.iucnredlist.org/species/22720940/118847061,118847061
Ploceus spekeoides,NT,2017,https://www.iucnredlist.org/species/22718933/118849332,118849332
Macroagelaius subalaris,EN,2017,https://www.iucnredlist.org/species/22724290/118889995,118889995
Neodrepanis hypoxantha,VU,2017,https://www.iucnredlist.org/species/22698777/118899364,118899364
Myrmotherula klagesi,VU,2017,https://www.iucnredlist.org/species/22701439/118900498,118900498
Pterorhinus mitratus,NT,2017,https://www.iucnredlist.org/species/103872287/118900980,118900980
Cnipodectes superrufus,VU,2017,https://www.iucnredlist.org/species/22735464/118904437,118904437
Anthreptes rubritorques,VU,2017,https://www.iucnredlist.org/species/22717663/118905827,118905827
Promerops gurneyi,NT,2017,https://www.iucnredlist.org/species/22717443/118924982,118924982
Geocolaptes olivaceus,NT,2017,https://www.iucnredlist.org/species/22680945/118945926,118945926
Amazona vinacea,EN,2017,https://www.iucnredlist.org/species/22686374/118954406,118954406
Amazona rhodocorytha,VU,2017,https://www.iucnredlist.org/species/22686288/118968809,118968809
Schistolais leontica,EN,2017,https://www.iucnredlist.org/species/22713638/119051588,119051588
Aplonis santovestris,EN,2017,https://www.iucnredlist.org/species/22710485/119060447,119060447
Xipholena atropurpurea,VU,2017,https://www.iucnredlist.org/species/22700900/119065682,119065682
Otus capnodes,EN,2017,https://www.iucnredlist.org/species/22688686/119090936,119090936
Curruca buryi,NT,2017,https://www.iucnredlist.org/species/22716864/119094742,119094742
Certhidea olivacea,VU,2017,https://www.iucnredlist.org/species/103814223/119095821,119095821
Dendropicos dorae,NT,2017,https://www.iucnredlist.org/species/22681095/119106114,119106114
Hypocnemis ochrogyna,VU,2017,https://www.iucnredlist.org/species/22735491/119113473,119113473
Troglodytes cobbi,LC,2017,https://www.iucnredlist.org/species/22724382/119150856,119150856
Lybius leucogaster,EN,2017,https://www.iucnredlist.org/species/22726086/119152739,119152739
Apteryx mantelli,VU,2017,https://www.iucnredlist.org/species/45353580/119177586,119177586
Pomarea iphis,CR,2017,https://www.iucnredlist.org/species/22734314/119194254,119194254
